en-instruction,af-instruction,en-input,af-input,en-output,af-output
Give three tips for staying healthy.,3 tips om gesond te bly.,,,"1.Eat a balanced diet and make sure to include plenty of fruits and vegetables. 
2. Exercise regularly to keep your body active and strong. 
3. Get enough sleep and maintain a consistent sleep schedule.",1.Eet 'n uitgebalanse dieet en maak seker om 'n baie vrugte en groente te bevat. 2. oefen regelmatig om jou liggaam aktief en sterk te hou. 3. Get genoeg slaap en hou 'n konsistente slaapplan.
What are the three primary colors?,Wat is die drie primêre kleur?,,,"The three primary colors are red, blue, and yellow.","Die drie primêre kleur is rood, blauw en gele."
Describe the structure of an atom.,Beskryf die struktuur van 'n atome.,,,"An atom is made up of a nucleus, which contains protons and neutrons, surrounded by electrons that travel in orbits around the nucleus. The protons and neutrons have a positive charge, while the electrons have a negative charge, resulting in an overall neutral atom. The number of each particle determines the atomic number and the type of atom.","'N Atome bestaan uit 'n kern, wat protone en neutrone bevat, omgee deur elektrone wat in orbite rondom die kern reist. Die protone en neutrone het 'n positiewe belasting, terwyl die elektrone 'n negatiewe belasting het, wat resulteer in 'n algemene neutrale atome."
How can we reduce air pollution?,Hoe kan ons die luchtvervuiling verminder?,,,"There are a number of ways to reduce air pollution, such as shifting to renewable energy sources, encouraging the use of public transportation, prohibiting the burning of fossil fuels, implementing policies to reduce emissions from industrial sources, and implementing vehicle emissions standards. Additionally, individuals can do their part to reduce air pollution by reducing car use, avoiding burning materials such as wood, and changing to energy efficient appliances.","Daar is 'n aantal maniere om luchtvervuiling te verminder, soos om na hernieuwbare energiebronne te gaan, die gebruik van openbaar vervoer te bevorder, die verbieding van die verbranding van fossiele brandstoffe, die uitvoering van beleid om emisies uit industriële bronne te verminder, en die uitvoering van voertuig emisiestandaarde."
Describe a time when you had to make a difficult decision.,Beskryf 'n tyd wanneer jy 'n moeilike besluit moes neem.,,,"I had to make a difficult decision when I was working as a project manager at a construction company. I was in charge of a project that needed to be completed by a certain date in order to meet the client’s expectations. However, due to unexpected delays, we were not able to meet the deadline and so I had to make a difficult decision. I decided to extend the deadline, but I had to stretch the team’s resources even further and increase the budget. Although it was a risky decision, I ultimately decided to go ahead with it to ensure that the project was completed on time and that the client’s expectations were met. The project was eventually successfully completed and this was seen as a testament to my leadership and decision-making abilities.","Ek het 'n moeilike besluit te neem wanneer ek as 'n projekmanager by 'n bou maatskappy werk het. Ek was verantwoordelik vir 'n projek wat by 'n bepaalde datum voltooid moet word om die verwagtinge van die kliënt te voldoen. Maar, vanwege onverwachte vertraging, het ons nie die termyn kon voldoen nie en dus het ek 'n moeilike besluit te neem. Ek het besluit om die termyn te verleng, maar ek het die hulpbronne van die span nog verder te verbreek en die begroting te verhoog. Hoewel dit 'n risikose besluit was, het ek uiteindelik besluit om te gaanBesluit om met dit verder te gaan om te verseker dat die projek op tyd voltooid is en dat die verwagtinge van die kliënt vervul is. Die projek is uiteindelik suksesvol voltooid en dit is gesien as 'n testament vir my leidinggevende en besluitvormingskapasiteit."
Identify the odd one out.,Identifiseer die vreemde een.,"Twitter, Instagram, Telegram","Facebook, Instagram en Telegram",Telegram,Telegrama
Explain why the following fraction is equivalent to 1/4,Verduidelik waarom die volgende fractie gelijk is aan 1/4,4/16,4 / 16,The fraction 4/16 is equivalent to 1/4 because both numerators and denominators are divisible by 4. Dividing both the top and bottom numbers by 4 yields the fraction 1/4.,Die fractie 4/16 is ekvivalent aan 1/4 omdat beide getalers en denominatoren deur 4 verdeel word.
Write a short story in third person narration about a protagonist who has to make an important career decision.,Skryf 'n kort verhaal in 'n derde persoon verhaal oor 'n protagoniste wat 'n belangrike karriêre besluit moet neem.,,,"John was at a crossroads in his life. He had just graduated college and was now facing the big decision of what career to pursue. After much deliberation, he decided that he wanted to be an accountant and help the financially disadvantaged. He had always been good with numbers and enjoyed seeing the tangible results of his work. 

John enrolled in accounting courses and initially found it quite challenging. He had to learn multiple systems and regulations quickly, but he worked hard and eventually excelled in his studies. After a few years, John started working at an accounting firm in his city. He was eager to put his knowledge of taxes and accounting to use in a real-world setting.

John loved his job, as it let him express his creativity in finding strategies to save his clients money. After a few years at the firm, he became a senior accountant and was asked to manage bigger and more challenging cases. He was now a respected figure in the financial industry, but he still remembers when he was just a recent college graduate, unsure of the direction in which his life would take him.","John was op 'n kruisroads in sy lewe. Hy het net 'n kollege afgestudeer en was nou met die groot besluit van watter loopbaan om te lei. Na baie besorgdheid, het hy besluit dat hy wil wees 'n boekhouder en help die finansiële ongunstige. Hy het altyd goed met getalle en miskien sien die tangibele resultate van sy werk.John het in boekhoudingskursus geregistreer en oorspronklik dit baie uitdagend gevind. Hy het verskeie stelsels en regulasies snel te leer, maar hy het hard werk en uiteindelik uitstekend in sy studies. Na 'n paar jaar het John begin werk by 'n boekhoudingskantoor in sy stad. Hy was begeer om sy kennis van belasting en boekhouding te gebruik in 'n werklike omgewing.John het sy werk lief, want dit laat hom sy creativiteit uitdruk in die vind van strategieë om sy kliënte geld te bespar. Na 'n paar jaar by die firma, het hy 'n senior boekhouder geword en gevra word om groter en meer uitdagende gevalle te beheer. Hy was nou 'n gerespekte figure in die finansiële sektor, maar hy herinner nog steeds wanneer hy net 'n onlangse kollege afgestudeer was, onzekere van die richting waarop sy lewe hom sal neem."
Render a 3D model of a house,Render 'n 3D model van 'n huis,,,<nooutput> This type of instruction cannot be fulfilled by a GPT model.,<nooutput> Hierdie tipe instruksies kan nie deur 'n GPT-model vervul word nie.
Evaluate this sentence for spelling and grammar mistakes,Evalueer hierdie zin vir spelling en grammatieke fouten,He finnished his meal and left the resturant,Hy het sy maaltijd gevind en die restaurant verlaat.,He finished his meal and left the restaurant.,Hy het sy maaltijd beëind en die restaurant verlaat.
How did Julius Caesar die?,Hoe het Julius Caesar doodgemaak?,,,"Julius Caesar was assassinated by a group of up to 60 conspirators, led by Gaius Cassius Longinus and Marcus Junius Brutus, in the Senate House on the Ides of March (15 March) of 44 BC.","Julius Caesar is vermoord deur 'n groep van tot 60 samenzwerers, gelei deur Gaius Cassius Longinus en Marcus Junius Brutus, in die Senaathuis op die Ides van Maart (15 Maart) van 44 BC."
What is the capital of France?,Wat is die hoofstad van Frankryk?,,,The capital of France is Paris.,Die hoofstad van Frankryk is Parijs.
Generate a list of ten items a person might need for a camping trip,Maak 'n lys van tien items wat 'n persoon kan nodig het vir 'n camping reis,,,"1. Tent
2. Sleeping bags
3. Flashlight
4. Matches/lighter
5. Insect repellent
6. Extra clothes
7. First aid kit
8. Camp stove
9. Cooking utensils
10. Biodegradable soaps/shampoos",1. Tint 2. Slaapbakke 3. Flashlight 4. Matches/ligter 5. Insekte repellent 6. Extra klere 7. Eerste hulp kit 8. Camp stove 9. Kook gereedskap 10. Biodegradeerbare soap/shampoos
Discuss the causes of the Great Depression,Bespreek die oorsaak van die Grote Depresie,,,"The Great Depression was a severe global economic downturn that lasted from 1929 to 1939. It was caused by several factors, including the stock market crash of 1929, structural weaknesses in the economy, low consumer spending, high unemployment, and a lack of confidence in the banking system. Other contributing factors included overproduction of commodities, reliance on borrowing to finance investments, agricultural overproduction, and a decrease in international trade.","Die Grote Depresie was 'n ernstige globale ekonomiese daling wat van 1929 tot 1939 geduur het. Dit was veroorsaak deur verskeie faktore, insluitend die aandelenmark crash van 1929, struktuurvwakte in die ekonomie, 'n lage verbruikersuitgaven, 'n hoë werkloosheid, en 'n gebrek aan vertroue in die bankstelsel. Andere bijdragende faktore omvat oorproduksie van goederen, verslaafheid op lening om beleggings te finansier, landbou oorproduksie, en 'n daling in die internasionale handels."
"Classify the following into animals, plants, and minerals","Klassifiseer die volgende in diere, planten en minerale","Oak tree, copper ore, elephant","Oakboom, koper ore, elefant","Oak tree: Plant
 Copper ore: Mineral
 Elephant: Animal",Oakboom: Plante Kopper Oor: Mineraal Elefant: Die dier
